asyncio - DEBUG - Using selector: KqueueSelector
root - INFO - Track: 7ywlnXV5O0h8T5pCRUN1f5. Link: https://api.spotify.com/v1/tracks/7ywlnXV5O0h8T5pCRUN1f5
root - INFO - Track: 0svaiEE8lMG6Q3PjMWdxLq. Link: https://api.spotify.com/v1/tracks/0svaiEE8lMG6Q3PjMWdxLq
root - INFO - Track: 1v2zyAJrChw5JnfafSkwkJ. Link: https://api.spotify.com/v1/tracks/1v2zyAJrChw5JnfafSkwkJ
root - INFO - Track: 7sNhXWrg9eW3qRqeuePaIC. Link: https://api.spotify.com/v1/tracks/7sNhXWrg9eW3qRqeuePaIC
root - INFO - Track: 32kmXl5F8I3XDVKNfwwM4J. Link: https://api.spotify.com/v1/tracks/32kmXl5F8I3XDVKNfwwM4J
root - INFO - Track: 7od102KY2OZsQ8USYiHjnE. Link: https://api.spotify.com/v1/tracks/7od102KY2OZsQ8USYiHjnE
root - INFO - Track: 7iqds11TrI0RS6p3ALk004. Link: https://api.spotify.com/v1/tracks/7iqds11TrI0RS6p3ALk004
root - INFO - Track: 2ElyyOi86SHyMKcUrv2f8e. Link: https://api.spotify.com/v1/tracks/2ElyyOi86SHyMKcUrv2f8e
root - INFO - Track: 6prMUtwaDCxochuZ2baVbT. Link: https://api.spotify.com/v1/tracks/6prMUtwaDCxochuZ2baVbT
root - INFO - Track: 6G0NzOx2jEPFsSmhr9N8Ys. Link: https://api.spotify.com/v1/tracks/6G0NzOx2jEPFsSmhr9N8Ys
root - INFO - Track: 46dGFTD918NMz1IP1rPJXO. Link: https://api.spotify.com/v1/tracks/46dGFTD918NMz1IP1rPJXO
root - INFO - Track: 4pOH9T4HZhqhM8voyg11oV. Link: https://api.spotify.com/v1/tracks/4pOH9T4HZhqhM8voyg11oV
root - INFO - Track: 79Yk6AlSKi5dxDFINID2hS. Link: https://api.spotify.com/v1/tracks/79Yk6AlSKi5dxDFINID2hS
root - INFO - Track: 4yChgYDVcQrAgIEIErW27b. Link: https://api.spotify.com/v1/tracks/4yChgYDVcQrAgIEIErW27b
root - INFO - Track: 3Rhxe6P1im82NFVkt9X2qZ. Link: https://api.spotify.com/v1/tracks/3Rhxe6P1im82NFVkt9X2qZ
